Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases
3/2/2020,ID-JB,Jawa Barat,3,0,0,3,12,5,14,-7
3/3/2020,ID-JB,Jawa Barat,1,1,0,0,13,6,14,-7
3/4/2020,ID-JB,Jawa Barat,1,0,0,1,14,6,14,-6
3/5/2020,ID-JB,Jawa Barat,1,0,0,1,15,6,14,-5
3/6/2020,ID-JB,Jawa Barat,1,0,0,1,16,6,14,-4
3/7/2020,ID-JB,Jawa Barat,0,0,0,0,16,6,14,-4
3/8/2020,ID-JB,Jawa Barat,0,0,0,0,16,6,14,-4
3/9/2020,ID-JB,Jawa Barat,0,0,0,0,16,6,14,-4
3/10/2020,ID-JB,Jawa Barat,0,0,0,0,16,6,14,-4
3/11/2020,ID-JB,Jawa Barat,0,1,0,-1,16,7,14,-5
3/12/2020,ID-JB,Jawa Barat,1,0,0,1,17,7,14,-4
3/13/2020,ID-JB,Jawa Barat,4,0,4,0,21,7,18,-4
3/14/2020,ID-JB,Jawa Barat,0,0,0,0,21,7,18,-4
3/15/2020,ID-JB,Jawa Barat,0,0,0,0,21,7,18,-4
3/16/2020,ID-JB,Jawa Barat,1,0,0,1,22,7,18,-3
3/17/2020,ID-JB,Jawa Barat,11,0,0,11,33,7,18,8
3/18/2020,ID-JB,Jawa Barat,5,1,1,3,38,8,19,11
3/19/2020,ID-JB,Jawa Barat,7,1,0,6,45,9,19,17
3/20/2020,ID-JB,Jawa Barat,20,3,0,17,65,12,19,34
3/21/2020,ID-JB,Jawa Barat,5,0,0,5,70,12,19,39
3/22/2020,ID-JB,Jawa Barat,3,3,0,0,73,15,19,39
3/23/2020,ID-JB,Jawa Barat,6,4,0,2,79,19,19,41
3/24/2020,ID-JB,Jawa Barat,2,2,1,-1,81,21,20,40
3/25/2020,ID-JB,Jawa Barat,5,0,1,4,86,21,21,44
3/26/2020,ID-JB,Jawa Barat,8,0,0,8,94,21,21,52
3/27/2020,ID-JB,Jawa Barat,27,4,0,23,121,25,21,75
3/28/2020,ID-JB,Jawa Barat,23,2,1,20,144,27,22,95
3/29/2020,ID-JB,Jawa Barat,33,2,1,30,177,29,23,125
3/30/2020,ID-JB,Jawa Barat,26,2,3,21,203,31,26,146
3/31/2020,ID-JB,Jawa Barat,9,0,3,6,212,31,29,152
4/1/2020,ID-JB,Jawa Barat,27,1,0,26,239,32,29,178
4/2/2020,ID-JB,Jawa Barat,24,4,1,19,263,36,30,197
4/3/2020,ID-JB,Jawa Barat,2,1,3,-2,265,37,33,195
4/4/2020,ID-JB,Jawa Barat,24,2,0,22,289,39,33,217
4/5/2020,ID-JB,Jawa Barat,10,0,1,9,299,39,34,226
4/6/2020,ID-JB,Jawa Barat,20,2,1,17,319,41,35,243
4/7/2020,ID-JB,Jawa Barat,79,2,3,74,398,43,38,317
4/8/2020,ID-JB,Jawa Barat,24,5,1,18,422,48,39,335
4/9/2020,ID-JB,Jawa Barat,22,5,1,16,444,53,40,351
4/10/2020,ID-JB,Jawa Barat,10,0,1,9,454,53,41,360
4/11/2020,ID-JB,Jawa Barat,45,1,1,43,499,54,42,403
4/12/2020,ID-JB,Jawa Barat,35,4,3,28,534,58,45,431
4/13/2020,ID-JB,Jawa Barat,76,10,3,63,610,68,48,494
4/14/2020,ID-JB,Jawa Barat,6,1,1,4,616,69,49,498
4/15/2020,ID-JB,Jawa Barat,38,3,1,34,654,72,50,532
4/16/2020,ID-JB,Jawa Barat,23,1,6,16,677,73,56,548
4/17/2020,ID-JB,Jawa Barat,61,3,16,42,738,76,72,590
4/18/2020,ID-JB,Jawa Barat,19,0,2,17,757,76,74,607
4/19/2020,ID-JB,Jawa Barat,54,1,12,41,811,77,86,648
4/20/2020,ID-JB,Jawa Barat,27,3,4,20,838,80,90,668
4/21/2020,ID-JB,Jawa Barat,19,5,19,-5,857,85,109,663
4/22/2020,ID-JB,Jawa Barat,8,3,3,2,865,88,112,665
4/23/2020,ID-JB,Jawa Barat,29,3,9,17,894,91,121,682
4/24/2020,ID-JB,Jawa Barat,74,2,3,69,968,93,124,751
4/25/2020,ID-JB,Jawa Barat,47,0,4,43,1015,93,128,794
4/26/2020,ID-JB,Jawa Barat,12,0,1,11,1027,93,129,805
4/27/2020,ID-JB,Jawa Barat,38,1,3,34,1065,94,132,839
4/28/2020,ID-JB,Jawa Barat,19,1,6,12,1084,95,138,851
4/29/2020,ID-JB,Jawa Barat,40,0,7,33,1124,95,145,884
4/30/2020,ID-JB,Jawa Barat,5,4,31,-30,1129,99,176,854
5/1/2020,ID-JB,Jawa Barat,4,0,3,1,1133,99,179,855
5/2/2020,ID-JB,Jawa Barat,36,1,2,33,1169,100,181,888
